,Location,day,date,total_number_positive_people,deaths,deaths_increase,total_recoveries,total_recoveries_increase,currently_positive,dismissed_patients,swabs,swabs_increase
7290,Toscana,520,28/7/2021,249864,6910,0.028951939,121,-5.46875,5118,237836,4028165,0.21597299
7304,Toscana,521,29/7/2021,250612,6911,0.01447178,125,3.3057852,5777,237924,4036821,0.21488693
7318,Toscana,522,30/7/2021,251332,6912,0.014469686,141,12.8,6441,237979,4045172,0.2068707
7332,Toscana,523,31/7/2021,251973,6913,0.014467592,154,9.2198582,6972,238088,4053497,0.20580089
7346,Toscana,524,01/8/2021,252675,6913,0.0,167,8.4415588,7568,238194,4062034,0.21060827
7360,Toscana,525,02/8/2021,253127,6919,0.086792998,179,7.1856289,7854,238354,4066937,0.12070308
7374,Toscana,526,03/8/2021,253453,6919,0.0,193,7.821229,8013,238521,4073769,0.16798884
7388,Toscana,527,04/8/2021,254218,6921,0.028905911,198,2.5906737,8541,238756,4083209,0.23172644
7402,Toscana,528,05/8/2021,254983,6924,0.043346338,223,12.626263,9092,238967,4092215,0.22056182
7416,Toscana,529,06/8/2021,255717,6926,0.028885037,229,2.690583,9682,239109,4101379,0.22393741
7430,Toscana,530,07/8/2021,256431,6927,0.014438348,249,8.7336245,10112,239392,4110789,0.22943503
7444,Toscana,531,08/8/2021,257096,6929,0.028872527,258,3.6144578,10581,239586,4119671,0.21606557
7458,Toscana,532,09/8/2021,257588,6932,0.043296292,283,9.6899223,10810,239846,4125009,0.12957345
7472,Toscana,533,10/8/2021,258099,6937,0.072129257,292,3.180212,11040,240122,4132034,0.17030266
7486,Toscana,534,11/8/2021,258873,6938,0.014415453,289,-1.0273973,11464,240471,4142212,0.24631937
7500,Toscana,535,12/8/2021,259749,6940,0.028826751,291,0.69204152,11895,240914,4151321,0.21990666
7514,Toscana,536,13/8/2021,260568,6944,0.057636887,295,1.3745705,12117,241507,4160364,0.21783428
7528,Toscana,537,14/8/2021,261251,6949,0.072004609,301,2.0338984,12189,242113,4168591,0.19774713
7542,Toscana,538,15/8/2021,261976,6950,0.01439056,320,6.3122926,12381,242645,4177228,0.20719232
7556,Toscana,539,16/8/2021,262503,6953,0.043165468,334,4.375,12388,243162,4182129,0.11732661
7570,Toscana,540,17/8/2021,262899,6958,0.071911402,347,3.8922155,12274,243667,4188441,0.15092792
7584,Toscana,541,18/8/2021,263574,6960,0.028743891,354,2.0172911,12168,244446,4198156,0.23194788
7598,Toscana,542,19/8/2021,264418,6966,0.086206898,360,1.6949153,12356,245096,4207562,0.22405075
7612,Toscana,543,20/8/2021,265118,6970,0.057421762,371,3.0555556,12374,245774,4215329,0.18459621
7626,Toscana,544,21/8/2021,265757,6974,0.057388809,374,0.80862534,12265,246518,4223397,0.19139668
7640,Toscana,545,22/8/2021,266351,6975,0.014338973,392,4.8128343,12265,247111,4231180,0.18428294
7654,Toscana,546,23/8/2021,266785,6978,0.043010753,407,3.8265307,12197,247610,4236438,0.12426794
7668,Toscana,547,24/8/2021,267322,6986,0.11464603,426,4.6683044,12111,248225,4244261,0.18465985
7682,Toscana,548,25/8/2021,267976,6993,0.1002004,419,-1.6431925,11832,249151,4254352,0.23775634
7696,Toscana,549,26/8/2021,268653,6995,0.028600028,440,5.0119333,11752,249906,4263297,0.21025528
7710,Toscana,550,27/8/2021,269405,6999,0.057183702,447,1.5909091,11586,250820,4271912,0.20207365
7724,Toscana,551,28/8/2021,270006,7003,0.057151023,460,2.9082775,11486,251517,4280565,0.20255567
7738,Toscana,552,29/8/2021,270534,7005,0.028559189,472,2.6086957,11580,251949,4289314,0.2043889
7752,Toscana,553,30/8/2021,270882,7008,0.042826552,478,1.2711865,11416,252458,4294450,0.11973943
7766,Toscana,554,31/8/2021,271265,7013,0.071347035,473,-1.0460252,11129,253123,4303233,0.20451979
7780,Toscana,555,01/9/2021,271803,7020,0.099814631,466,-1.4799154,10981,253802,4312734,0.22078748
7794,Toscana,556,02/9/2021,272418,7025,0.071225069,461,-1.0729613,10921,254472,4321779,0.20972775
7808,Toscana,557,03/9/2021,272943,7027,0.028469751,456,-1.0845987,10846,255070,4330848,0.20984414
7822,Toscana,558,04/9/2021,273434,7028,0.014230824,459,0.65789473,10875,255531,4339091,0.19033223
7836,Toscana,559,05/9/2021,273991,7031,0.042686399,450,-1.9607843,10952,256008,4348231,0.2106432
7850,Toscana,560,06/9/2021,274304,7035,0.056890912,452,0.44444445,10788,256481,4353443,0.11986484
7864,Toscana,561,07/9/2021,274607,7043,0.11371713,447,-1.1061947,10447,257117,4361014,0.17390832
7878,Toscana,562,08/9/2021,275015,7045,0.02839699,448,0.22371365,10179,257791,4370345,0.213964
7892,Toscana,563,09/9/2021,275510,7051,0.085166782,448,0.0,9967,258492,4379388,0.2069173
7906,Toscana,564,10/9/2021,275933,7054,0.042547155,442,-1.3392857,9772,259107,4386864,0.17070879
7920,Toscana,565,11/9/2021,276362,7057,0.042529061,434,-1.8099548,9515,259790,4395236,0.19084248
7934,Toscana,566,12/9/2021,276793,7060,0.042510983,429,-1.1520737,9389,260344,4403867,0.1963717
7948,Toscana,567,13/9/2021,277000,7063,0.042492919,436,1.6317016,9378,260559,4407947,0.092645846
7962,Toscana,568,14/9/2021,277279,7069,0.084949739,420,-3.6697247,9084,261126,4415046,0.16105004
7976,Toscana,569,15/9/2021,277652,7077,0.11317018,406,-3.3333333,8833,261742,4424874,0.22260244
7990,Toscana,570,16/9/2021,278087,7086,0.12717253,398,-1.9704434,8732,262269,4432620,0.17505583
8004,Toscana,571,17/9/2021,278581,7095,0.127011,402,1.0050251,8567,262919,4441325,0.19638498
8018,Toscana,572,18/9/2021,278907,7100,0.070472166,395,-1.7412935,8482,263325,4449026,0.1733942
8032,Toscana,573,19/9/2021,279325,7105,0.070422538,385,-2.5316455,8482,263738,4457511,0.19071589
8046,Toscana,574,20/9/2021,279556,7110,0.070372976,387,0.51948053,8294,264152,4461821,0.096690729
8060,Toscana,575,21/9/2021,279771,7113,0.042194095,389,0.51679587,8080,264578,4469224,0.1659188
8074,Toscana,576,22/9/2021,280096,7120,0.098411359,372,-4.3701801,7914,265062,4477744,0.19063713
8088,Toscana,577,23/9/2021,280400,7126,0.084269665,357,-4.032258,7782,265492,4485934,0.1829046
8102,Toscana,578,24/9/2021,280734,7128,0.028066237,348,-2.5210085,7720,265886,4493879,0.17710915
8116,Toscana,579,25/9/2021,281024,7135,0.098204263,337,-3.1609194,7594,266295,4501914,0.17879876
8130,Toscana,580,26/9/2021,281287,7142,0.098107919,321,-4.7477746,7440,266705,4510292,0.18609862
8144,Toscana,581,27/9/2021,281451,7148,0.08401008,334,4.0498443,7360,266943,4515431,0.1139394
8158,Toscana,582,28/9/2021,281641,7157,0.12590934,324,-2.9940119,7105,267379,4523028,0.16824529
8172,Toscana,583,29/9/2021,281889,7162,0.069861673,292,-9.876543,6911,267816,4532372,0.20658727
8186,Toscana,584,30/9/2021,282212,7169,0.097738065,271,-7.191781,6790,268253,4541678,0.20532295
8200,Toscana,585,01/10/2021,282467,7175,0.083693683,265,-2.2140222,6697,268595,4549954,0.18222339
8214,Toscana,586,02/10/2021,282744,7176,0.013937282,263,-0.75471699,6648,268920,4558700,0.19222173
8228,Toscana,587,03/10/2021,283004,7180,0.055741359,264,0.38022813,6597,269227,4567536,0.19382718
8242,Toscana,588,04/10/2021,283135,7184,0.055710308,269,1.8939394,6468,269483,4571937,0.096353918
8256,Toscana,589,05/10/2021,283289,7187,0.041759465,268,-0.37174723,6305,269797,4579147,0.15770121
8270,Toscana,590,06/10/2021,283518,7192,0.069570057,263,-1.8656716,6166,270160,4587895,0.19103995
8284,Toscana,591,07/10/2021,283746,7197,0.069521688,255,-3.0418251,6056,270493,4596238,0.18184811
8298,Toscana,592,08/10/2021,284021,7201,0.055578712,252,-1.1764706,5991,270829,4604346,0.17640513
8312,Toscana,593,09/10/2021,284250,7202,0.01388696,250,-0.79365081,5901,271147,4612612,0.17952605
8326,Toscana,594,10/10/2021,284458,7206,0.05554013,241,-3.5999999,5842,271410,4620957,0.18091701
8340,Toscana,595,11/10/2021,284620,7212,0.083263949,245,1.6597511,5740,271668,4626032,0.10982574
8354,Toscana,596,12/10/2021,284755,7216,0.055463117,232,-5.3061223,5632,271907,4633477,0.16093706
8368,Toscana,597,13/10/2021,284970,7218,0.027716186,227,-2.1551723,5573,272179,4642186,0.1879582
8382,Toscana,598,14/10/2021,285199,7222,0.055417012,209,-7.9295154,5534,272443,4650994,0.1897382
8396,Toscana,599,15/10/2021,285429,7225,0.04153974,216,3.3492823,5478,272726,4659657,0.18626127
8410,Toscana,600,16/10/2021,285641,7225,0.0,215,-0.46296296,5354,273062,4668232,0.18402642
8424,Toscana,601,17/10/2021,285873,7231,0.083044983,219,1.8604652,5354,273288,4677166,0.19137867
8438,Toscana,602,18/10/2021,286018,7235,0.055317383,233,6.392694,5290,273493,4682598,0.1161387
8452,Toscana,603,19/10/2021,286168,7237,0.027643399,231,-0.85836911,5225,273706,4690265,0.1637339
8466,Toscana,604,20/10/2021,286392,7239,0.027635761,233,0.86580086,5124,274029,4698712,0.18009643
8480,Toscana,605,21/10/2021,286669,7242,0.041442189,232,-0.42918456,5070,274357,4707436,0.1856679
8494,Toscana,606,22/10/2021,286946,7245,0.04142502,235,1.2931035,5063,274638,4716154,0.18519635
8508,Toscana,607,23/10/2021,287231,7250,0.069013111,241,2.5531914,5078,274903,4724096,0.16839993
8522,Toscana,608,24/10/2021,287511,7251,0.013793103,248,2.9045644,5140,275120,4732454,0.17692274
8536,Toscana,609,25/10/2021,287722,7254,0.041373603,259,4.4354839,5114,275354,4737406,0.10463916
8550,Toscana,610,26/10/2021,287914,7258,0.055141989,258,-0.38610038,5075,275581,4744735,0.15470491
8564,Toscana,611,27/10/2021,288216,7266,0.1102232,260,0.77519381,5124,275826,4753316,0.1808531
8578,Toscana,612,28/10/2021,288589,7272,0.082576387,251,-3.4615386,5277,276040,4762535,0.19394882
8592,Toscana,613,29/10/2021,288965,7275,0.041254126,258,2.7888446,5490,276200,4770758,0.17266014
8606,Toscana,614,30/10/2021,289252,7277,0.027491409,269,4.263566,5569,276406,4778960,0.17192237
8620,Toscana,615,31/10/2021,289637,7279,0.027483853,270,0.37174723,5796,276562,4787522,0.17916033
8634,Toscana,616,01/11/2021,289841,7283,0.054952603,283,4.814815,5897,276661,4791946,0.092406884
8648,Toscana,617,02/11/2021,290031,7287,0.054922421,299,5.6537104,5902,276842,4796760,0.10046023
8662,Toscana,618,03/11/2021,290321,7297,0.13723068,297,-0.66889632,5927,277097,4805500,0.18220632
8676,Toscana,619,04/11/2021,290706,7298,0.013704262,300,1.010101,6085,277323,4814418,0.18557902
8690,Toscana,620,05/11/2021,291087,7301,0.041107152,298,-0.66666669,6245,277541,4822377,0.16531593
8704,Toscana,621,06/11/2021,291546,7303,0.027393507,301,1.0067114,6424,277819,4831312,0.18528207
8718,Toscana,622,07/11/2021,291919,7305,0.027386006,298,-0.99667776,6697,277917,4840710,0.19452272
8732,Toscana,623,08/11/2021,292182,7308,0.04106776,305,2.3489933,6639,278235,4846467,0.11892883
8746,Toscana,624,09/11/2021,292416,7311,0.041050903,305,0.0,6643,278462,4852988,0.13455163
8760,Toscana,625,10/11/2021,292834,7316,0.068390094,293,-3.9344263,6811,278707,4862604,0.19814597
8774,Toscana,626,11/11/2021,293343,7320,0.054674685,295,0.68259388,6980,279043,4873078,0.215399
8788,Toscana,627,12/11/2021,293773,7325,0.068306014,285,-3.3898306,7127,279321,4882412,0.19154218
8802,Toscana,628,13/11/2021,294204,7328,0.040955633,293,2.8070176,7263,279613,4891304,0.18212309
8816,Toscana,629,14/11/2021,294637,7331,0.040938865,293,0.0,7579,279727,4900669,0.19146223
8830,Toscana,630,15/11/2021,294928,7335,0.054562815,297,1.3651878,7427,280166,4906578,0.12057538
8844,Toscana,631,16/11/2021,295233,7344,0.12269939,301,1.3468014,7467,280422,4915379,0.17937145
8858,Toscana,632,17/11/2021,295605,7355,0.14978214,305,1.3289037,7469,280781,4925553,0.20698301
8872,Toscana,633,18/11/2021,295946,7361,0.081577159,309,1.3114754,7545,281040,4934663,0.18495385
8886,Toscana,634,19/11/2021,296464,7364,0.040755332,301,-2.5889966,7746,281354,4944854,0.20651866
8900,Toscana,635,20/11/2021,296887,7365,0.013579576,297,-1.3289037,7847,281675,4953857,0.18206806
8914,Toscana,636,21/11/2021,297408,7368,0.040733196,292,-1.6835017,8180,281860,4963473,0.19411138
8928,Toscana,637,22/11/2021,297716,7375,0.09500543,299,2.3972602,8125,282216,4968788,0.10708228
8942,Toscana,638,23/11/2021,298086,7379,0.054237287,303,1.3377926,8184,282523,4977415,0.17362383
8956,Toscana,639,24/11/2021,298477,7383,0.054207888,300,-0.99009901,8100,282994,4986320,0.17890812
8970,Toscana,640,25/11/2021,299087,7385,0.027089259,301,0.33333334,8321,283381,4996763,0.209433
8984,Toscana,641,26/11/2021,299575,7388,0.040622883,297,-1.3289037,8400,283787,5006298,0.19082354
8998,Toscana,642,27/11/2021,300052,7398,0.13535462,294,-1.010101,8684,283970,5015494,0.18368863
9012,Toscana,643,28/11/2021,300647,7399,0.013517166,295,0.34013605,9103,284145,5024544,0.18044084
9026,Toscana,644,29/11/2021,300975,7399,0.0,311,5.4237289,8829,284747,5029276,0.094177701
9040,Toscana,645,30/11/2021,301496,7402,0.040546019,317,1.9292605,9033,285061,5038753,0.18843667
9054,Toscana,646,01/12/2021,302055,7409,0.094569035,307,-3.1545742,9185,285461,5049289,0.20909935
9068,Toscana,647,02/12/2021,302670,7415,0.080982588,298,-2.931596,9410,285845,5060152,0.2151392
9082,Toscana,648,03/12/2021,303379,7418,0.04045853,294,-1.3422819,9892,286069,5070759,0.20961821
9096,Toscana,649,04/12/2021,304056,7420,0.026961446,295,0.34013605,10042,286594,5081255,0.2069907
9110,Toscana,650,05/12/2021,304725,7423,0.040431269,299,1.3559322,10515,286787,5090937,0.19054347
9124,Toscana,651,06/12/2021,305269,7430,0.094301492,300,0.33444816,10551,287288,5096937,0.1178565
9138,Toscana,652,07/12/2021,305767,7432,0.026917901,312,4.0,10677,287658,5105540,0.16878764
9152,Toscana,653,08/12/2021,306558,7437,0.067276642,317,1.6025641,11007,288114,5117180,0.22798763
9166,Toscana,654,09/12/2021,307217,7441,0.053785127,325,2.5236592,11278,288498,5125265,0.15799718
9180,Toscana,655,10/12/2021,308087,7447,0.080634326,334,2.7692308,11744,288896,5135729,0.20416506
9194,Toscana,656,11/12/2021,309011,7449,0.026856452,323,-3.2934132,12291,289271,5147008,0.21961829
9208,Toscana,657,12/12/2021,309842,7454,0.0671231,342,5.8823528,12907,289481,5157669,0.20713004
9222,Toscana,658,13/12/2021,310545,7458,0.053662464,354,3.5087719,13150,289937,5164793,0.13812441
9236,Toscana,659,14/12/2021,311207,7461,0.04022526,359,1.4124293,13295,290451,5175290,0.20324145
9250,Toscana,660,15/12/2021,312243,7468,0.093821205,371,3.3426185,13733,291042,5188100,0.24752235
9264,Toscana,661,16/12/2021,313465,7475,0.093733259,371,0.0,14400,291590,5200717,0.24319115
9278,Toscana,662,17/12/2021,314692,7479,0.053511705,390,5.121294,15080,292133,5213951,0.25446492
9292,Toscana,663,18/12/2021,315974,7483,0.053483088,389,-0.25641027,15889,292602,5225978,0.2306696
9306,Toscana,664,19/12/2021,317344,7487,0.053454496,386,-0.77120823,16988,292869,5238903,0.24732213
9320,Toscana,665,20/12/2021,318299,7493,0.080138907,406,5.1813474,17187,293619,5246464,0.14432411
9334,Toscana,666,21/12/2021,319615,7497,0.053383157,424,4.4334974,18181,293937,5258930,0.23760766
9348,Toscana,667,22/12/2021,321653,7502,0.066693343,437,3.0660377,19536,294615,5274952,0.30466273
9362,Toscana,668,23/12/2021,324433,7507,0.066648893,453,3.6613271,21665,295261,5293011,0.34235382
9376,Toscana,669,24/12/2021,327770,7510,0.039962701,484,6.843267,24354,295906,5311996,0.35868055
9390,Toscana,670,25/12/2021,331208,7513,0.039946739,481,-0.61983472,27204,296491,5330703,0.35216516
9404,Toscana,671,26/12/2021,334283,7516,0.039930787,515,7.0686069,29990,296777,5342776,0.22648045
9418,Toscana,672,27/12/2021,337126,7525,0.11974455,569,10.485436,32273,297328,5353615,0.20287207
9432,Toscana,673,28/12/2021,341579,7531,0.079734221,600,5.4481544,36135,297913,5370673,0.31862584
9446,Toscana,674,29/12/2021,348883,7540,0.11950604,627,4.5,42636,298707,5394707,0.44750443
9460,Toscana,675,30/12/2021,364713,7549,0.1193634,676,7.814992,58039,299125,5419833,0.46575281
9474,Toscana,676,31/12/2021,381599,7558,0.11922109,712,5.3254437,74300,299741,5448312,0.52545899
9488,Toscana,677,01/1/2022,396593,7562,0.052924056,734,3.0898876,88876,300155,5471303,0.4219839
9502,Toscana,678,02/1/2022,402960,7568,0.079344086,780,6.2670298,94797,300595,5489260,0.32820335
9516,Toscana,679,03/1/2022,409912,7574,0.079281181,839,7.5641026,100783,301555,5504933,0.28552118
9530,Toscana,680,04/1/2022,428780,7588,0.18484288,907,8.104887,119032,302160,5527324,0.40674427
9544,Toscana,681,05/1/2022,445737,7599,0.14496574,961,5.9536934,133132,305006,5549004,0.39223319
9558,Toscana,682,06/1/2022,463023,7617,0.23687327,1001,4.1623311,145614,309793,5571893,0.41248843
9572,Toscana,683,07/1/2022,470590,7630,0.17067087,1066,6.4935064,151568,311392,5590473,0.33345938
9586,Toscana,684,08/1/2022,486482,7638,0.10484928,1107,3.8461537,164003,314841,5607999,0.31349763
9600,Toscana,685,09/1/2022,498936,7651,0.17020163,1151,3.9747064,175048,316237,5629014,0.37473258
9614,Toscana,686,10/1/2022,504726,7669,0.23526336,1197,3.9965248,173897,323160,5644736,0.27930292
9628,Toscana,687,11/1/2022,521016,7684,0.19559264,1230,2.7568922,175806,337526,5665687,0.37115997
9642,Toscana,688,12/1/2022,534357,7755,0.92399794,1276,3.7398374,178714,347888,5690755,0.44245297
9656,Toscana,689,13/1/2022,547508,7775,0.25789812,1296,1.5673981,180914,358819,5715108,0.42793971
9670,Toscana,690,14/1/2022,559367,7799,0.30868167,1315,1.4660494,185878,365690,5737778,0.39666793
9684,Toscana,691,15/1/2022,571128,7818,0.24362098,1349,2.5855513,179001,384309,5760102,0.38907048
9698,Toscana,692,16/1/2022,581415,7850,0.40931183,1368,1.4084507,178444,395121,5780702,0.35763255
9712,Toscana,693,17/1/2022,587041,7863,0.1656051,1441,5.3362575,178771,400407,5796672,0.27626401
9726,Toscana,694,18/1/2022,601840,7892,0.36881599,1449,0.55517,179815,414133,5816686,0.34526709
9740,Toscana,695,19/1/2022,614404,7925,0.41814497,1441,-0.55210489,176359,430120,5837603,0.35960338
9754,Toscana,696,20/1/2022,628124,7949,0.30283913,1454,0.90215129,179991,440184,5860524,0.39264405
9768,Toscana,697,21/1/2022,641153,7983,0.42772675,1465,0.75653368,180388,452782,5882398,0.37324306
9782,Toscana,698,22/1/2022,653343,8007,0.30063885,1475,0.68259388,178714,466622,5904277,0.37194017
9796,Toscana,699,23/1/2022,664247,8033,0.32471588,1454,-1.4237288,179398,476816,5924420,0.34115946
9810,Toscana,700,24/1/2022,669850,8058,0.31121624,1478,1.650619,179800,481992,5940495,0.27133459
9824,Toscana,701,25/1/2022,683660,8085,0.33507073,1486,0.54127198,178553,497022,5958310,0.29989085
9838,Toscana,702,26/1/2022,694195,8127,0.51948053,1491,0.33647376,176918,509150,5974809,0.27690738
9852,Toscana,703,27/1/2022,706552,8147,0.24609327,1478,-0.87189806,172770,525635,5995524,0.34670565
9866,Toscana,704,28/1/2022,717080,8178,0.38050815,1456,-1.488498,167482,541420,6015034,0.32540941
9880,Toscana,705,29/1/2022,726793,8214,0.44020543,1461,0.34340659,161093,557486,6033142,0.30104569
9894,Toscana,706,30/1/2022,735197,8236,0.26783541,1426,-2.3956194,156411,570550,6052552,0.32172292
9908,Toscana,707,31/1/2022,739306,8263,0.32782903,1477,3.5764375,152785,578258,6065431,0.21278627
9922,Toscana,708,01/2/2022,749183,8287,0.29045141,1478,0.067704804,148210,592686,6080983,0.25640386
9936,Toscana,709,02/2/2022,756941,8320,0.39821407,1455,-1.556157,142298,606323,6096570,0.2563237
9950,Toscana,710,03/2/2022,765116,8353,0.39663461,1449,-0.41237113,137914,618849,6114116,0.28780118
9964,Toscana,711,04/2/2022,771885,8380,0.32323715,1406,-2.9675639,131468,632037,6130078,0.26106799
9978,Toscana,712,05/2/2022,778533,8410,0.35799521,1391,-1.0668564,123255,646868,6145801,0.2564894
9992,Toscana,713,06/2/2022,784216,8437,0.32104638,1384,-0.5032351,122390,653389,6160932,0.24620062
10006,Toscana,714,07/2/2022,786999,8477,0.47410217,1387,0.216763,114060,664462,6170279,0.15171406
10020,Toscana,715,08/2/2022,793652,8507,0.35389879,1374,-0.93727469,105260,679885,6183153,0.20864534
10034,Toscana,716,09/2/2022,798512,8533,0.30563065,1348,-1.8922853,98742,691237,6196614,0.21770446
10048,Toscana,717,10/2/2022,803458,8561,0.32813781,1295,-3.9317508,92636,702261,6209505,0.20803297
10062,Toscana,718,11/2/2022,807970,8587,0.30370283,1266,-2.2393823,86268,713115,6222253,0.20529817
10076,Toscana,719,12/2/2022,811708,8607,0.23291022,1245,-1.6587678,79472,723629,6232688,0.16770452
10090,Toscana,720,13/2/2022,815045,8637,0.34855351,1190,-4.4176707,73883,732525,6243530,0.17395383
10104,Toscana,721,14/2/2022,816725,8666,0.33576474,1193,0.25210086,71558,736501,6250464,0.11105897
10118,Toscana,722,15/2/2022,820941,8689,0.26540503,1150,-3.6043587,65937,746315,6260393,0.1588522
10132,Toscana,723,16/2/2022,824269,8719,0.34526414,1117,-2.8695652,61375,754175,6270061,0.15443119
10146,Toscana,724,17/2/2022,827960,8739,0.22938411,1089,-2.5067143,58035,761186,6280357,0.16420893
10160,Toscana,725,18/2/2022,831284,8767,0.3204028,1044,-4.1322312,54527,767990,6289203,0.14085187
10174,Toscana,726,19/2/2022,834334,8780,0.14828333,1021,-2.2030652,50648,774906,6297850,0.1374896
10188,Toscana,727,20/2/2022,836999,8793,0.14806378,1011,-0.97943193,48101,780105,6307113,0.14708194
10202,Toscana,728,21/2/2022,838315,8812,0.21608098,1038,2.6706231,46509,782994,6312270,0.081764825
10216,Toscana,729,22/2/2022,842033,8855,0.48797095,1022,-1.5414258,43263,789915,6321021,0.13863476
10230,Toscana,730,23/2/2022,844989,8887,0.36137775,1002,-1.9569472,40859,795243,6329740,0.13793658
10244,Toscana,731,24/2/2022,847982,8917,0.33757174,963,-3.8922155,38559,800506,6338146,0.13280167
10258,Toscana,732,25/2/2022,850569,8949,0.35886508,922,-4.2575288,36544,805076,6345755,0.12005088
10272,Toscana,733,26/2/2022,852932,8980,0.34640741,899,-2.4945769,34148,809804,6353301,0.11891414
10286,Toscana,734,27/2/2022,855016,9005,0.27839643,871,-3.1145718,32164,813847,6361112,0.12294396
10300,Toscana,735,28/2/2022,856024,9028,0.25541365,856,-1.7221584,31049,815947,6365150,0.063479468
10314,Toscana,736,01/3/2022,858942,9050,0.2436863,846,-1.1682243,28783,821109,6373191,0.12632853
10328,Toscana,737,02/3/2022,861355,9068,0.19889502,826,-2.3640661,27110,825177,6380605,0.11633105
10342,Toscana,738,03/3/2022,864234,9082,0.15438905,796,-3.6319613,26028,829124,6388176,0.11865646
10356,Toscana,739,04/3/2022,866985,9097,0.16516186,783,-1.6331658,25192,832696,6395208,0.11007837
10370,Toscana,740,05/3/2022,869684,9119,0.24183796,762,-2.6819923,24412,836153,6401733,0.10202952
10384,Toscana,741,06/3/2022,872171,9127,0.087728918,731,-4.0682416,23676,839368,6408392,0.10401871
10398,Toscana,742,07/3/2022,873591,9144,0.18626055,750,2.5991793,24088,840359,6412930,0.070813395
10412,Toscana,743,08/3/2022,877431,9162,0.19685039,747,-0.40000001,24050,844219,6419355,0.10018821
10426,Toscana,744,09/3/2022,880603,9179,0.18554901,731,-2.141901,23889,847535,6426241,0.10726935
10440,Toscana,745,10/3/2022,884737,9184,0.054472163,716,-2.0519836,25309,850244,6433642,0.11516842
10454,Toscana,746,11/3/2022,888675,9202,0.19599304,686,-4.1899443,26447,853026,6440241,0.10257021
10468,Toscana,747,12/3/2022,892918,9217,0.16300805,685,-0.14577259,27881,855820,6447199,0.10803944
10482,Toscana,748,13/3/2022,896641,9225,0.086796135,667,-2.6277373,28820,858596,6454332,0.1106372
10496,Toscana,749,14/3/2022,898410,9241,0.17344174,681,2.0989506,29205,859964,6458732,0.06817127
10510,Toscana,750,15/3/2022,904984,9268,0.29217616,690,1.3215859,32218,863498,6466910,0.12661928
10524,Toscana,751,16/3/2022,910187,9278,0.10789815,699,1.3043479,34652,866257,6474771,0.12155728
10538,Toscana,752,17/3/2022,915716,9290,0.12933822,680,-2.7181687,37245,869181,6482606,0.12100814
10552,Toscana,753,18/3/2022,921405,9301,0.11840689,709,4.2647057,39778,872326,6490867,0.12743331
10566,Toscana,754,19/3/2022,926894,9312,0.11826685,719,1.4104372,41732,875850,6498410,0.11620944
10580,Toscana,755,20/3/2022,931471,9324,0.12886597,741,3.0598054,42704,879443,6506184,0.11962926
10594,Toscana,756,21/3/2022,933576,9345,0.22522523,769,3.7786775,43061,881170,6511383,0.079908594
10608,Toscana,757,22/3/2022,940354,9365,0.2140182,790,2.7308192,44575,886414,6519523,0.12501185
10622,Toscana,758,23/3/2022,945634,9386,0.22423919,790,0.0,46377,889871,6527964,0.12947266
10636,Toscana,759,24/3/2022,951080,9405,0.20242915,807,2.1518986,47314,894361,6536406,0.12932056
10650,Toscana,760,25/3/2022,956549,9422,0.18075491,806,-0.12391574,48128,898999,6544977,0.1311271
10664,Toscana,761,26/3/2022,961363,9435,0.13797495,809,0.37220845,48427,903501,6551860,0.10516462
10678,Toscana,762,27/3/2022,965508,9441,0.063593008,823,1.7305316,47913,908154,6560052,0.1250332
10692,Toscana,763,28/3/2022,967286,9454,0.13769728,863,4.8602672,46914,910918,6564575,0.068947621
10706,Toscana,764,29/3/2022,974119,9469,0.158663,883,2.317497,48781,915869,6572943,0.12747207
10720,Toscana,765,30/3/2022,979079,9485,0.16897243,891,0.90600228,47688,921906,6580527,0.11538211
10734,Toscana,766,31/3/2022,984384,9496,0.11597259,900,1.010101,48759,926129,6589153,0.13108373
10748,Toscana,767,01/4/2022,989177,9517,0.22114575,899,-0.11111111,48953,930707,6596848,0.11678284
10762,Toscana,768,02/4/2022,993875,9524,0.073552594,891,-0.88987762,49559,934792,6604045,0.10909756
10776,Toscana,769,03/4/2022,997757,9524,0.0,891,0.0,50681,937552,6611440,0.11197682
10790,Toscana,770,04/4/2022,999397,9546,0.23099539,934,4.8260384,48807,941044,6615611,0.06308762
10804,Toscana,771,05/4/2022,1005371,9574,0.29331657,954,2.1413276,49928,945869,6622701,0.10717075
10818,Toscana,772,06/4/2022,1009829,9586,0.12533946,924,-3.144654,49301,950942,6629737,0.10624064
10832,Toscana,773,07/4/2022,1014580,9598,0.12518255,910,-1.5151515,50025,954957,6636499,0.101995
10846,Toscana,774,08/4/2022,1018975,9609,0.11460721,875,-3.8461537,50181,959185,6642907,0.096556932
10860,Toscana,775,09/4/2022,1023109,9616,0.072848372,852,-2.6285715,49684,963809,6648507,0.084300444
10874,Toscana,776,10/4/2022,1026762,9619,0.031198002,826,-3.0516431,51364,965779,6654186,0.085417673
10888,Toscana,777,11/4/2022,1028368,9632,0.13514918,840,1.6949153,51959,966777,6657374,0.047909692
10902,Toscana,778,12/4/2022,1033846,9640,0.08305648,845,0.59523809,50168,974038,6662407,0.075600378
10916,Toscana,779,13/4/2022,1037857,9654,0.14522822,809,-4.260355,49995,978208,6667826,0.081336968
